date,temperature,temp_min,temp_max,humidity,wind_speed,precipitation,weather_code,condition,pm25,pm10,aqi,traffic_index,is_weekend,month,day_of_week,no2,so2,ozone
2020-01-01,-2.3,-6.0,-0.1,92,10.2,0.4,71,snow,24.0,36.4,79,65.4,False,1,2,49.3,148.9,51.1
2020-01-02,-3.8,-10.1,0.5,80,15.5,0.0,3,partly_cloudy,83.7,55.7,171,58.8,False,1,3,69.0,159.3,73.1
2020-01-03,-2.7,-10.1,0.1,64,11.9,0.0,3,partly_cloudy,67.2,62.6,159,58.0,False,1,4,21.0,101.4,73.5
2020-01-04,-1.6,-3.8,-0.4,72,8.2,0.4,71,snow,26.9,28.4,84,24.8,True,1,5,37.3,107.5,47.3
2020-01-05,-3.6,-8.1,-1.2,60,6.7,0.0,2,partly_cloudy,51.1,48.3,139,48.9,True,1,6,19.7,139.0,63.9
2020-01-06,-6.0,-8.8,-1.6,68,10.9,0.0,3,partly_cloudy,75.2,75.8,165,64.3,False,1,0,71.8,62.1,68.7
2020-01-07,-3.9,-7.6,-1.0,83,9.6,1.0,71,snow,35.7,38.8,101,68.9,False,1,1,38.7,82.3,56.5
2020-01-08,-4.9,-6.0,-4.2,95,5.6,1.9,73,snow,46.3,22.6,128,63.0,False,1,2,43.9,115.7,43.8
2020-01-09,-6.2,-7.4,-5.0,91,6.9,0.1,71,snow,42.4,52.4,118,60.8,False,1,3,36.0,115.6,45.3
2020-01-10,-7.1,-8.7,-3.8,88,16.5,0.0,3,partly_cloudy,50.3,52.5,137,74.3,False,1,4,60.8,163.2,64.1
2020-01-11,-2.6,-6.7,0.0,59,11.8,0.0,3,partly_cloudy,65.0,55.6,158,28.5,True,1,5,50.9,84.0,59.8
2020-01-12,-3.3,-8.6,1.3,69,10.5,0.0,3,partly_cloudy,89.1,53.3,175,39.0,True,1,6,61.7,66.3,65.5
2020-01-13,-3.5,-7.7,-0.6,83,10.2,2.9,73,snow,46.1,25.6,127,65.8,False,1,0,66.7,86.2,60.3
2020-01-14,-4.6,-6.2,-2.5,92,7.3,3.4,73,snow,45.8,33.1,126,59.8,False,1,1,28.5,122.8,57.5
2020-01-15,-4.9,-9.1,-1.5,81,9.0,0.5,71,snow,44.8,30.5,124,72.6,False,1,2,52.9,100.0,44.3
2020-01-16,-3.9,-7.2,-1.3,85,8.9,4.2,73,snow,44.8,41.0,124,62.0,False,1,3,27.6,111.3,49.5
2020-01-17,-6.2,-7.2,-4.5,71,6.1,0.0,2,partly_cloudy,81.3,32.4,169,65.2,False,1,4,35.8,116.8,55.9
2020-01-18,-8.5,-13.6,-2.2,60,16.9,0.0,1,partly_cloudy,28.7,43.1,88,36.1,True,1,5,59.5,133.7,63.9
2020-01-19,-5.5,-15.8,1.0,54,12.9,0.0,3,partly_cloudy,56.5,57.1,152,43.2,True,1,6,25.8,125.4,56.4
2020-01-20,-1.7,-3.4,-1.0,55,8.5,0.2,71,snow,22.5,32.4,76,57.9,False,1,0,52.4,114.7,51.8
2020-01-21,-4.4,-6.8,-2.4,76,5.9,0.0,3,partly_cloudy,40.3,41.4,113,68.9,False,1,1,69.7,82.2,56.4
2020-01-22,-3.8,-6.0,-2.2,71,9.4,0.5,71,snow,31.4,43.1,93,79.8,False,1,2,38.7,84.8,49.7
2020-01-23,-2.9,-7.8,0.3,76,10.6,0.8,73,snow,20.2,38.1,72,59.5,False,1,3,48.3,71.1,52.5
2020-01-24,0.4,-3.2,2.6,45,16.0,0.1,51,drizzle,31.0,41.8,92,51.4,False,1,4,37.4,83.3,61.8
2020-01-25,1.4,-2.7,5.2,73,13.4,1.2,53,drizzle,25.0,44.4,81,45.6,True,1,5,41.7,77.3,58.4
2020-01-26,-3.3,-5.0,-0.1,96,10.6,3.3,75,snow,54.1,35.5,147,34.0,True,1,6,33.2,119.2,31.5
2020-01-27,-3.6,-7.6,-1.7,80,10.7,0.8,73,snow,40.3,21.1,113,73.1,False,1,0,32.2,110.1,47.3
2020-01-28,-3.2,-5.3,-1.7,73,8.6,0.8,73,snow,39.8,38.2,112,57.0,False,1,1,48.5,79.4,56.2
2020-01-29,-5.8,-10.3,-2.7,81,10.2,0.0,3,partly_cloudy,47.6,50.9,131,60.9,False,1,2,71.4,81.9,58.5
2020-01-30,-6.6,-8.9,-3.3,88,12.3,0.0,3,partly_cloudy,50.2,44.7,137,63.9,False,1,3,43.5,112.7,54.7
2020-01-31,-6.4,-10.9,-2.1,81,16.2,0.0,3,partly_cloudy,34.9,65.9,99,68.4,False,1,4,53.8,96.7,53.4
2020-02-01,-4.0,-13.3,1.8,52,14.8,0.0,3,partly_cloudy,64.3,44.6,157,45.4,True,2,5,40.6,84.3,69.7
2020-02-02,1.1,-3.2,4.1,31,6.5,0.0,3,partly_cloudy,31.2,52.8,92,25.6,True,2,6,32.2,46.7,87.8
2020-02-03,2.1,-4.2,5.3,37,12.0,0.0,3,partly_cloudy,37.1,41.1,105,63.1,False,2,0,60.9,107.4,91.9
2020-02-04,0.0,-3.2,2.3,74,12.3,0.6,71,snow,30.7,43.4,91,67.4,False,2,1,12.4,129.4,57.5
2020-02-05,-0.3,-3.9,1.9,84,10.5,0.0,3,partly_cloudy,59.9,47.5,154,60.8,False,2,2,51.0,89.5,69.0
2020-02-06,2.4,-2.5,5.3,49,10.2,0.1,51,drizzle,53.7,58.6,146,79.3,False,2,3,47.8,99.7,46.8
2020-02-07,2.2,0.1,3.4,52,6.3,0.0,2,partly_cloudy,64.7,31.4,157,71.6,False,2,4,45.7,59.4,77.1
2020-02-08,4.3,2.1,7.9,33,8.3,0.0,3,partly_cloudy,43.9,45.1,122,31.6,True,2,5,41.0,103.2,89.7
2020-02-09,6.1,-1.4,11.8,29,15.5,0.0,3,partly_cloudy,44.2,41.0,122,44.2,True,2,6,59.0,85.6,79.5
2020-02-10,5.6,1.7,9.9,78,10.1,4.2,55,drizzle,44.4,53.7,123,66.5,False,2,0,80.0,138.2,49.5
2020-02-11,-3.5,-7.2,1.3,91,16.2,6.8,73,snow,30.1,57.5,90,75.6,False,2,1,81.2,87.2,44.6
2020-02-12,-1.2,-8.2,7.1,68,20.8,0.0,2,partly_cloudy,33.2,40.7,96,65.7,False,2,2,61.7,88.7,69.6
2020-02-13,-0.6,-3.1,1.5,87,12.3,9.9,73,snow,56.4,52.4,152,70.2,False,2,3,38.7,128.8,65.1
2020-02-14,-2.5,-5.2,-0.5,91,11.0,1.8,73,snow,49.0,51.4,134,60.6,False,2,4,44.5,111.4,67.6
2020-02-15,0.1,-4.6,3.0,67,12.7,0.0,3,partly_cloudy,55.8,34.2,151,49.8,True,2,5,43.9,113.0,63.6
2020-02-16,-0.9,-5.3,1.3,75,19.0,9.3,75,snow,24.2,31.7,79,32.5,True,2,6,43.9,99.1,59.0
2020-02-17,-2.6,-10.6,1.9,72,10.2,0.0,3,partly_cloudy,40.2,43.2,113,70.1,False,2,0,44.3,82.9,74.1
2020-02-18,-3.5,-5.0,-2.2,78,5.8,5.9,73,snow,41.7,54.5,116,75.4,False,2,1,13.5,110.5,60.8
2020-02-19,-6.3,-11.7,-3.1,90,13.8,0.9,71,snow,57.4,51.5,152,75.2,False,2,2,68.2,91.8,63.6
2020-02-20,-4.1,-11.9,2.5,72,21.6,0.0,2,partly_cloudy,42.6,48.8,118,68.3,False,2,3,36.8,108.3,87.3
2020-02-21,2.3,-6.1,8.9,51,17.1,0.0,3,partly_cloudy,34.0,28.7,97,61.9,False,2,4,38.1,112.5,66.5
2020-02-22,7.3,1.6,13.3,40,12.2,0.6,51,drizzle,51.0,58.0,139,48.3,True,2,5,72.3,111.1,42.1
2020-02-23,0.8,-1.2,3.3,91,10.5,0.4,51,drizzle,41.8,57.3,117,45.2,True,2,6,51.7,132.6,51.5
