date,temperature,temp_min,temp_max,humidity,wind_speed,precipitation,weather_code,condition,pm25,pm10,aqi,traffic_index,is_weekend,month,day_of_week,no2,so2,ozone
2020-01-01,-2.3,-6.0,-0.1,92,10.2,0.4,71,snow,,,0,65.4,False,1,2,,,
2020-01-02,-3.8,-10.1,0.5,80,15.5,0.0,3,partly_cloudy,,,0,58.8,False,1,3,,,
2020-01-03,-2.7,-10.1,0.1,64,11.9,0.0,3,partly_cloudy,,,0,58.0,False,1,4,,,
2020-01-04,-1.6,-3.8,-0.4,72,8.2,0.4,71,snow,,,0,24.8,True,1,5,,,
2020-01-05,-3.6,-8.1,-1.2,60,6.7,0.0,2,partly_cloudy,,,0,48.9,True,1,6,,,
2020-01-06,-6.0,-8.8,-1.6,68,10.9,0.0,3,partly_cloudy,,,0,64.3,False,1,0,,,
2020-01-07,-3.9,-7.6,-1.0,83,9.6,1.0,71,snow,,,0,68.9,False,1,1,,,
2020-01-08,-4.9,-6.0,-4.2,95,5.6,1.9,73,snow,,,0,63.0,False,1,2,,,
2020-01-09,-6.2,-7.4,-5.0,91,6.9,0.1,71,snow,,,0,60.8,False,1,3,,,
2020-01-10,-7.1,-8.7,-3.8,88,16.5,0.0,3,partly_cloudy,,,0,74.3,False,1,4,,,
2020-01-11,-2.6,-6.7,0.0,59,11.8,0.0,3,partly_cloudy,,,0,28.5,True,1,5,,,
2020-01-12,-3.3,-8.6,1.3,69,10.5,0.0,3,partly_cloudy,,,0,39.0,True,1,6,,,
2020-01-13,-3.5,-7.7,-0.6,83,10.2,2.9,73,snow,,,0,65.8,False,1,0,,,
2020-01-14,-4.6,-6.2,-2.5,92,7.3,3.4,73,snow,,,0,59.8,False,1,1,,,
2020-01-15,-4.9,-9.1,-1.5,81,9.0,0.5,71,snow,,,0,72.6,False,1,2,,,
2020-01-16,-3.9,-7.2,-1.3,85,8.9,4.2,73,snow,,,0,62.0,False,1,3,,,
2020-01-17,-6.2,-7.2,-4.5,71,6.1,0.0,2,partly_cloudy,,,0,65.2,False,1,4,,,
